year,code,country_origin,country_consignment,net_mass,cif_etb,cif_usd
2016,88033000,United States,France,43057768.56,129583500.35,7947556.39
2016,62059000,China,United Arab Emirates,313751.14,5514181.15,266073.4
2016,85393910,China,Djibouti,3588272.29,1419192.27,227801.01
2016,70052900,China,China,24757709.41,16434931.52,1703234.1
2016,90142000,United States,Switzerland,3307180.28,171001.03,160121.18
2016,62053000,Thailand,Thailand,12471795.8,17104809.62,1357897.86
2016,72139100,China,China,60067940.95,105262073.8,6944675.39
2016,85362000,China,China,95408923.1,140690108.69,10839563.38
2016,40116300,China,China,16880183.7,17650385.46,1573452.44
2016,84181010,Turkey,Turkey,7963046.15,18139051.09,1189812.14
2016,35069100,India,India,4626099.04,6620966.19,501575.65
2016,39072000,Thailand,United Arab Emirates,13139877.27,14704142.07,1242131.07
2016,62044900,China,China,16837697.87,35679424.09,2408334.13
2016,85285900,United States,United Arab Emirates,13262.92,3412966.43,157727.82
2016,63039900,China,China,13147937.16,8413076.94,980534.8
2016,30043900,China,Germany,4073533.77,9641068.39,630033.41
2016,39174000,China,China,91335011.95,64967022.78,7120851.96
2016,90101000,Japan,Malaysia,3486089.78,3951509.38,342117.35
2016,20081100,Saudi Arabia,Djibouti,18562382.83,20309069.29,1703888.15
2016,87042110,Japan,Belgium,25382215.06,20666459.3,2105460.99
2016,29329900,China,China,3337789.93,4032816.2,338890.57
2016,54024700,China,United Arab Emirates,3536535.8,3447382.78,309929.45
2016,30041000,China,United Arab Emirates,33927854.86,29254312.26,2896000.9
2016,39202000,Egypt,Egypt,7553703.01,10380554.31,806330.41
2016,94038900,China,China,16429090.82,13148027.06,1334471.9
2016,17011300,Brazil,Somalia,8932814.19,10291778.91,797878.34
2016,62044900,China,United Arab Emirates,11829747.77,19395915.16,1426033.33
2016,62043200,China,China,1443131.25,7727414.23,419024.66
2016,73089090,Austria,Germany,146994327.9,94103283.56,10934107.07
2016,85043400,India,India,2711960.4,40965467.16,1999594.45
2016,19021990,Turkey,Djibouti,241030721.28,127795078.42,16089083.17
2016,61099000,China,China,95790358.13,250044329.55,15848409.55
2016,10064000,India,Djibouti,268977900.96,255227718.0,22236889.1
2016,72091500,Japan,Japan,58235144.4,111499503.15,7106664.99
2016,85068000,China,China,171081811.91,316782155.14,21921395.34
2016,84713010,China,United Arab Emirates,127796587.32,336354237.01,21356955.69
2016,72142000,Turkey,Turkey,1100948876.64,816719113.23,80071033.09
2016,73269090,Turkey,Turkey,326294273.89,468990657.36,36382673.11
2016,87032210,Japan,United Arab Emirates,213797226.11,186423465.02,18304719.83
2016,84718000,Greece,Greece,48081331.34,1691680.26,2291056.07
2016,54076900,China,China,189083188.06,272975940.93,20981811.4
2016,72141000,Turkey,Turkey,71094768.61,84246152.23,6501465.83
2016,85012000,China,China,44483393.58,2821237.91,2170253.47
2016,11022000,United States,United States,6432808.33,662954.75,308327.15
2016,85177000,Sweden,Sweden,31430486.71,81610573.56,5188029.09
2016,62113900,China,China,304628839.57,162057892.44,21403223.34
2016,10064000,Pakistan,Djibouti,86641815.05,43894098.82,5511732.93
2016,85177000,China,China,422924757.0,358845420.83,35917179.8
2016,84109000,China,China,18622823.64,402785393.56,19372108.04
2016,73082000,China,China,995223466.46,116213485.5,50364291.5
2016,87032210,Japan,Djibouti,414389661.64,23705432.01,20007430.93
2016,84119100,United States,Germany,34878342.31,66398435.74,4662052.73
2016,54076900,China,United Arab Emirates,111333007.07,199195857.99,14165897.69
2016,62082900,China,Somalia,312974657.66,64752230.6,17195177.65
2016,27101990,United Arab Emirates,United Arab Emirates,734371531.13,324604036.28,47647704.21
2016,72104100,India,India,142214894.42,189129730.01,14441777.93
2016,87032110,India,India,422907857.1,197814574.16,28331513.62
2016,73089090,Poland,Germany,77518621.38,94949157.5,7845043.94
2016,87112000,India,India,317772290.11,204069381.92,21118622.83
2016,10063000,India,Somalia,129802890.31,212514577.85,14558901.67
2016,49019900,India,India,102472175.77,77043083.33,8074170.69
2016,84714110,Malaysia,United Arab Emirates,75943325.37,110390147.64,8565931.86
2016,15119010,Malaysia,Singapore,227937539.45,435289763.07,28972064.96
2016,19019090,Italy,Italy,148172067.0,109890383.35,11325139.02
2016,84313910,India,India,20013861.57,43490699.06,2917204.29
2016,84552100,China,China,75450739.2,82457897.56,7220211.46
2016,84714110,China,United Arab Emirates,474119055.55,117416234.1,27174027.12
2016,64029900,India,Somalia,59600408.52,86960801.96,6646586.49
2016,90318000,China,China,59251732.62,326361585.06,17745739.54
2016,90328910,China,China,84541667.12,514825.48,3914877.12
2016,87013000,Poland,Germany,249000.0,60247297.97,2773548.5
2016,84119100,United States,United Arab Emirates,509.0,52288167.82,2407141.47
2016,84479090,Turkey,Turkey,8013.0,3188379.03,146780.42
